Link,Ngày đăng,Loại hình căn hộ,Số phòng ngủ,Số phòng tắm/vệ sinh,Pháp lý,Nội thất,Gia_VND,Diện tích (m²) đã làm sạch
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-prj-discovery-complex/chu-nha-gui-ban-194m2-view-tang-trung-tang-vinh-vien-nha-da-co-noi-that-pr41535621,08/10/2025,Căn hộ chung cư tại Discovery Complex,4.0,3.0,HDMB,Day du/Cao cap,13500000000.0,194.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-prj-discovery-complex/danh-sach-ban-chinh-chu-3pn-102-142m2-gia-chuan-cap-nhat-hang-ngay-pr43231259,30/09/2025,Căn hộ chung cư tại Discovery Complex,3.0,2.0,Khac/Chua co,Day du/Cao cap,12000000000.0,155.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-cau-giay-phuong-dich-vong-prj-discovery-complex/mo-ban-quy-penuse-3-ngu-view-tay-ky-truc-tiep-chu-dau-tu-pr42303339,08/10/2025,Căn hộ chung cư tại Discovery Complex,3.0,3.0,Khac/Chua co,Co ban,11500000000.0,214.5
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-chu-huy-man-phuong-viet-hung-2-prj-vinhomes-symphony-riverside/toi-ban-cap-dap-thong-100m2-sieu-hiem-10-97-ty-full-noi-that-cao-cap-pr44224075,10/10/2025,Căn hộ chung cư tại Vinhomes Symphony Riverside,3.0,2.0,So do/So hong,Day du/Cao cap,10970000000.0,97.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-co-loa-xa-dong-hoi-prj-vinhomes-global-gate/-tong-hop-quy-hang-chuyen-nhuong-studio-1n-2n-3n-pr44210182,07/10/2025,Căn hộ chung cư tại  Vinhomes Global Gate,0.0,0.0,Khac/Chua co,Chua ro,11500000000.0,42.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-co-loa-xa-dong-hoi-prj-vinhomes-global-gate/mo-ban-moi-1-ngu-tieu-chuan-khach-san-view-duy-nhat-tai-mona-m2-cua-mik-pr44239151,10/10/2025,Căn hộ chung cư tại  Vinhomes Global Gate,0.0,0.0,Khac/Chua co,Chua ro,4980000000.0,48.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-da-ton-xa-da-ton-prj-the-sapphire-1-vinhomes-ocean-park/ban-2n-goc-dep-nhat-1-s107-chi-4-75-ti-pr44242214,10/10/2025,Căn hộ chung cư tại The Sapphire 1 - Vinhomes Ocean Park,2.0,2.0,So do/So hong,Day du/Cao cap,4750000000.0,64.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-da-ton-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/-ban-1n-tai-vinmes-park-pr44212059,07/10/2025,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,1.0,1.0,So do/So hong,Day du/Cao cap,3180000000.0,46.5
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-khu-do-thi-me-tri-thuong/-ban-90m-gia-4-5-ty-pr44199777,06/10/2025,Căn hộ chung cư tại Khu đô thị Mễ Trì Thượng,3.0,0.0,Khac/Chua co,Chua ro,4500000000.0,90.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/-ban-55m-ben-gia-4-5-ty-full-noi-that-gia-ban-trong-tuan-vhsc-mo-pr44235488,09/10/2025,Căn hộ chung cư tại Imperia Smart City,2.0,2.0,Khac/Chua co,Chua ro,4700000000.0,55.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/ban-gap-ch-i5-6-75-ty-76-2m2-tai-ng-tuan-pr44209607,07/10/2025,Căn hộ chung cư tại Imperia Smart City,0.0,0.0,Khac/Chua co,Chua ro,6750000000.0,76.2
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/ban-q-ly-vinhomes-smartcity-cap-nhat-quy-studio-2ty-1n-3ty-2n-4ty-2n-1-4-5ty-3n-5-ty-pr44213142,09/10/2025,Căn hộ chung cư tại Imperia Smart City,2.0,2.0,So do/So hong,Day du/Cao cap,4500000000.0,62.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/em-chuyen-du-an-cap-nhat-quy-t10-2025-gia-tot-nhat-pr44202775,06/10/2025,Căn hộ chung cư tại Imperia Smart City,1.0,1.0,So do/So hong,Day du/Cao cap,3000000000.0,28.3
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/em-chuyen-du-an-cap-nhat-quy-t9-2025-gia-tot-nhat-pr43996779,09/10/2025,Căn hộ chung cư tại Imperia Smart City,3.0,2.0,So do/So hong,Day du/Cao cap,4650000000.0,64.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-imperia-smart-city/tong-p-99-chuyen-nhuong-i1-i2-i3-i4-i5-gia-re-tu-1-6-ty-3-7-ty-tro-vay-von-ngan-hang-pr39993461,09/10/2025,Căn hộ chung cư tại Imperia Smart City,2.0,1.0,So do/So hong,Day du/Cao cap,4500000000.0,55.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/-ban-nhanh-2pn-2vs-tai-lumihn-view-be-boi-huong-dong-nam-gia-ban-nhanh-cuc-tot-pr44224665,08/10/2025,Căn hộ chung cư tại Lumi Hanoi,2.0,2.0,So do/So hong,Day du/Cao cap,5200000000.0,54.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/ban-gap-goc-duplex-capitaland-134-2m2-gia-10-99-ty-toa-s6-tien-do-dong-tien-vao-5-4-ty-pr44246571,10/10/2025,Căn hộ chung cư tại Lumi Hanoi,3.0,3.0,HDMB,Chua ro,10990000000.0,134.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/pkd-capitaland-tong-hop-quy-gia-dep-gia-re-tu-1-2-3-4-ngu-tai-hn-lh-zalo-pr43847988,11/10/2025,Căn hộ chung cư tại Lumi Hanoi,2.0,2.0,HDMB,Day du/Cao cap,5350000000.0,62.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-tay-mo-prj-lumi-hanoi/pkd-du-an-ha-noi-tong-hop-quy-hang-chuyen-nhuong-1-2-3pn-pent-duplex-gia-goc-cdt-pr42984138,10/10/2025,Căn hộ chung cư tại Lumi Hanoi,2.0,0.0,Khac/Chua co,Chua ro,11500000000.0,54.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-xa-thach-hoa-1-prj-phenikaa-hoa-lac/hang-hiem-ha-noi-chuan-song-xanh-trung-tam-khu-cnc-a-0-lai-suat-24-thang-pr44209863,07/10/2025,Căn hộ chung cư tại Phenikaa Hòa Lạc,2.0,2.0,Khac/Chua co,Chua ro,11500000000.0,62.5
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-mo-phuong-tay-mo-prj-vinhomes-smart-city/ban-cc-5-5-ty-63m2-2pn-2wc-gia-tot-pr44221880,08/10/2025,Căn hộ chung cư tại Vinhomes Smart City,2.0,2.0,So do/So hong,Day du/Cao cap,5500000000.0,63.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-mo-phuong-tay-mo-prj-vinhomes-smart-city/ban-cc-dep-tai-26m2-2-6-ty-1pn-1wc-nhieu-tien-ich-pr44212401,07/10/2025,Căn hộ chung cư tại Vinhomes Smart City,1.0,1.0,So do/So hong,Day du/Cao cap,2600000000.0,26.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dam-quang-trung-phuong-long-bien-prj-northern-emerald/ban-gap-80m2-tai-7-ty-vnd-pr44212298,08/10/2025,Căn hộ chung cư tại Northern Emerald,2.0,2.0,HDMB,Day du/Cao cap,7000000000.0,80.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-den-lu-phuong-hoang-van-thu-4-prj-khu-do-thi-den-lu-ii/chinh-chu-ban-sat-view-kdt-louiscity-trieu-do-pr44210552,07/10/2025,Căn hộ chung cư tại Khu đô thị Đền Lừ II,2.0,1.0,So do/So hong,Day du/Cao cap,4150000000.0000005,60.0
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dinh-cong-phuong-dinh-cong-prj-sky-central/ban-gap-2n2wc-central-pr44180180,04/10/2025,Căn hộ chung cư tại Sky Central,2.0,2.0,So do/So hong,Day du/Cao cap,5900000000.0,65.0
